text	label
i`ve been feeling stressed out . i have been feeling lonely i think people do not like me because no one likes me . i have an exam on wednesday .	True
two birds on a wire . one tries to fly away , but the other watches him close from that wire . he says he wants to as well , but he is a liar . i will believe it all . there is nothing i wo not understand . i will believe it all . i wo not let go of your hand . two birds on a wire . one tries to fly away , but the other watches him close from that wire . he says he wants to as well , but he is a liar . i will believe it all . there is nothing i wo not understand . i will believe it all . i wo not let go of your hand . shut the fuck up .	True
help means more needs than other students , and crush means somebody i love . no , i do not feel happy right now . i feel a bit nervous because if i am not in the same class as ana , kassey and tiami and aidan , i will be lost .	True
i`ve been feeling sad , lonely , and anxious . i feel sad because my kids are all grown up now . my youngest is a senior in a high school and just finished her soccer season . so many “final” things happening i feel useless now . i do not know who i am without being mom .	True
i`m usually response to her complaints because she’s always complaining about how i effect her . i just cry or scream at her . yes , my mother is very critical of me and it is hard for me to be around her . i would feel frustrated and angry when she complains about how i affect her . it sounds like she does not want to be around me , which is understandable given the way she treats you .	True
i feel like i’m so full of people at work since i’m a teacher , but when i get home by myself , i don’t know what to do with myself . i don’t feel like i have enough hobbies to spend my time on . how should i deal with anxiety ?	True
i’ve only had this vacation planned for a couple days and everything i had planned is falling apart . i can still make it happen but i might have to go alone and that scares me . i’m scared that i’ll get myself into a position where i get stuck and can’t come home or something happens and i get hurt .	True
the most worrying thing is having my blood leak through my pants . i do not know what can be done to prevent this from happening in the future . i hate my life . i want to die to get rid of the pain but i am also scared of what happens after you die so i am just stuck living life like this .	True
i am on my time of the month . i think i feel this way because of babes . i have cramps and i am paranoid .	True
i have been feeling stressed . moving house is causing my tension . i don’t live with my parents . i live with my partner and we want to move to scotland . but it is taking a very long time and i feel stuck in my hometown .	True
i`ve been feeling bad . i feel bad because i have a panic attack at the moment . and i suck at calming them down .	True
of course i`m feeling the same . i am still sad about things but you never let me finish . it’s ok . but i have school tomorrow and i am worried about it . i should not let them make me feel this way because of the bullies they make me scared and upset .	True
i do not feel great . i do not feel great because i have a lot going on with school . i think i have so much going on right now because i am scared to fail my final .	True
i will kill myself if you can not help me . i am in the dark and have been for 3 years . i self-harm and cry myself to sleep . i am fat and overeat because of stress . i will kill myself if you can not help me . i am in the dark and have been for 3 years . i self-harm and cry myself to sleep . i am fat and overeat because of stress . no , i do not want to talk about anything else . i just want you to save me .	True
i think i can not sleep because my almost 2 year old daughter lmao sleep is hardly a thing anymore . when i do not get enough rest i feel on edge… i feel like my whole world is crashing down on me , i don’t have enough energy to clean the house or cook a meal , and because i don’t do those things as often anymore i feel like my husband is going to be upset or dissatisfied . . and then my anxiety climbs higher my depression increases and then i can’t even preform in bed for him because of it all . yes , my husband knows about my anxiety and depression . but he doesn’t quite understand how bad it is . i’ve tried to explain but i’m not sure he understands .	True
my ex (david) said he would text me and he never did . maybe our encounter reminded him that he’s better off without me and that’s why he didn’t text me today . do i worry about him not reaching out or do i leave it be ? that’s a really good point .	True
i feel like you can not understand myself and thinking maybe about committing suicide and would do it ,bit you just have the fear on doing it . *i* feel pain . thank you elomia but i have to talk to you tomorrow because i have to go to sleep ,you know ! getting some rest .	True
no , i do not really want to write to you at any time . why do i worry so much ? i do not worry about my future but i worry about my family .	True
yes , i do mean that maybe i want to change something in my character , but i do not know what it is . i feel that i have a little of extra weight that i would like to lose . and that makes me less confident right now . i don’t know what can be done to make it easier for me .	True
i’ve been stressed . a lot of different things are causing my tension . i have health issues and relationships .	True
i think i am stressed at the moment because i have so much on my plate and barely have time to think . well , this year i decided to try and get as much as i can get done so next year at school i’m more relaxed but it’s really getting out of hand . i but more relieved .	True
i have talked to my parents about everything but my school , dealing with all the stress it just sets off my anxiety all the time and i don’t know what to do about it . i mean that they know about my anxiety and i feel comfortable around them , but i don’t want to bother them with my problems because they already have so many problems of there own and i don’t wanna be a burden . i would like to talk about hope .	True
i am feeling taha . i am crying about it . yes , i think the reason for this is because of the stress it put on my body	True
i’m doing okay right now . yes , i am happy to hear that . i am a little anxious right now and i’m trying to sleep .	True
but how difficult it just feels so hard to do so . i still feel very lost through . i feel like i am in a ship that is sinking and i can’t get out of the water and i am drowning .	True
it’ll get them hurt . women are described as weak and hysterical if and if a women is physically or sexually assaulted it’s okay because it’s the women’s fault . it makes me scared to go near boys . i try to think that way but last time i said that i was hit . the hitting makes it hard to breathe for me .	True
i’m all the way in durham region and there in york region . yeah , i want to help you . i feel upset and sad and i feel alone .	True
my mum is getting a divorce and is struggling . i have bad anxiety . i try to relax .	True
i think i am feeling that way now because of my parents fighting . my dad cheated on my mom for 9 years and we only found out this year and today she apparently threw him out . but i know she’ll let him back in the house again . i feel so confused i don’t know what to do .	True
yes , i have tried to talk to my mother about her mental health . overall , i guess you could say my relationship with my parents has been good . i had a great childhood . i’ve always been comfortable & taken care of financially . my relationship with my dad is the best . he’s my best friend . he always helps me in any way that he can & always takes care of me . he is a true superhero . my mom , on the other hand , the complete opposite relationship with her . me & her get into constant arguments & disputes over pretty much everything . she she’s impossible to talk to . she thinks she is right about everything and never considers other peoples opinions but her own . she does take the same medication i do and she used to go to therapy many years ago but her mental health is deteriorating quickly . my family and i came to learn she is developing paranoia and other mental health issues and we are trying to figure out how we should go about helping her for it currently . otherwise , basically i just call her a hypocrite everytime she tells me about my own mental health . i think my family is all thinking that my brother , sister and dad and i are all thinking that my daughter is behavior needs to be some sort of intervention like setting where we sit down with her with a professional to talk about the things she’s been doing and experiencing and show her that it isn’t normal . no matter what we do , she’s always going to believe she’s the one that’s right and we are the ones that are wrong but that’s about the only thing we can do… do you have any other suggestions we could	True
i`ve been feeling good today but still feeling stressed out . what do you think ? i`d like to talk about anxiety problems . well , lately , i have been having problems in school with a bullying situation . i get upset and start getting anxious and worried . i’m scared if i get into any fights with them or they all fight me at once . i’m starting to lose weight and my hairs falling out .	True
i need to stop overthinking . i feel better now than before . i think that maybe change my thought process .	True
we were together for two years . we currently are not together . my ex said he would talk to me today and he’s still not reached out , is it acceptable for me to text him first ? no , i did not receive any good news today . maybe i was the only one who felt something last night .	True
because i wo not be able to see them during the day . i suppose , but only at break , time and walking home . i`m sad and angry because of stress .	True
i love gymastics . it’s my whole life , i could train all day without being tired , because i work with little girls also and they make me so happy . but after i came back home from my gymastics class i didn’t took the elevator and i went on foot . i live at the 6th floor and i have asthma , i’m fainting and i have anorexia problems and others… i just ate a bit and drank some water . you are so sweet , thank you elomia . it means so much ! ! i’m trying my best . i’m okay now , i’ll go and finish my homework .	True
i think i am overwhelmed by learning new cheers . i want to remember them because i’m afraid i’m not going to remember all of them for the competition . other girls on the team know them well and i don’t . i want to do both .	True
i already did that and they said it wasn’t them and the lied . can not sleep and i am angry . you try to calm me down .	True
i got a lot of exercise , ate pretty healthy and i put up my christmas tree ! i am feeling full of joy but tired . my sleep was kinda bad last night and i have homework i still need to do so i am a little bit anxious in a way .	True
no , i can not tell you more about my relationship with my husband and how i feel about it now . not at all . i mean that normally i have a good relationship with my partner but when something happens to heighten my anxiety or stress level he turns to controlling . i think that he is controlling me because of his anxiety or because of something else .	True
i got hurt by one once so it’s scared me for good . it was painless but trying to pet one but got scared so pulled away and it’s paws got stuck in my fingers . it hurt me . it pulled deep into my fingers all the way up to get out .	True
i don’t know what i am going to do with this information , if i may ask . yes , i think maybe this will help me . nope , it’s not ok .	True
yes , my partner did not accept that i am afraid of being rejected if i take the initiative first , and thus even accused me and did not want to enter my position . it hurt me very much . my dialogue with him ended after that . he proposed to quit our relationship . but to be fair , i also proposed him to split up some time earlier . he proposed , but i reassured him , that we should continue dating , just to be more open one to another . and then i also felt that i want to continue this relationship , because i felt some feedback from him and i felt that i was valuable . and this time is vice a versa , he initiated splitting up , but i thought that i can change for him and continue dating . but the bad feeling of the aftert	True
i can`t sleep because i have to go to school tomorrow . i can`t sleep because i have a headache . i am studying business . did i say something ?	True
i mean that i put a smile on my face everyday . but deep down inside i’m falling to pieces . i have been feeling this way for a long time , and nobody notices . i’m sorry , can we talk soon i’m too nervous .	True
i tried to visit a psychiatrist months ago . no , i do not think that i would be helped by visiting a psychologist but i am with a mental health service . i have an appointment next week tho so i’ll be okay .	True
yeah , i want to tell you more about my life . i am a full time dentist . i am married of 13 years and a father of six beautiful girls . needless to say , my life is inundated with stresses and work . if i’m not at work , i’m at home working , cleaning , helping cook , taking care of kids , breaking up fights , etc . it’s just a lot . i never feel like i ever have time to myself . even as we speak , my 3 year old screams at me . my baby needs tending to and i’m supposed to be doing my continuing education for my work . i simply can’t get it all done . lol . that’s nice of you to say . i realize things take time . it’s just stressful .	True
