	Монолог	Упражнение	Уверенность	Ок/Не ок	Unnamed: 3	alt_label	is_ok_calm
0	i`ve been feeling stressed out . i have been feeling lonely i think people do not like me because no one likes me . i have an exam on wednesday .	CalmDownExercise	-0.012248386	True		calm_down	1
1	two birds on a wire . one tries to fly away , but the other watches him close from that wire . he says he wants to as well , but he is a liar . i will believe it all . there is nothing i wo not understand . i will believe it all . i wo not let go of your hand . two birds on a wire . one tries to fly away , but the other watches him close from that wire . he says he wants to as well , but he is a liar . i will believe it all . there is nothing i wo not understand . i will believe it all . i wo not let go of your hand . shut the fuck up .	CalmDownExercise	-0.37843606	False		fall_asleep	0
2	help means more needs than other students , and crush means somebody i love . no , i do not feel happy right now . i feel a bit nervous because if i am not in the same class as ana , kassey and tiami and aidan , i will be lost .	CalmDownExercise	-0.031084735	False		calm_down	0
3	i`ve been feeling sad , lonely , and anxious . i feel sad because my kids are all grown up now . my youngest is a senior in a high school and just finished her soccer season . so many “final” things happening i feel useless now . i do not know who i am without being mom .	CalmDownExercise	-0.6249127	False		calm_down	0
4	i`m usually response to her complaints because she’s always complaining about how i effect her . i just cry or scream at her . yes , my mother is very critical of me and it is hard for me to be around her . i would feel frustrated and angry when she complains about how i affect her . it sounds like she does not want to be around me , which is understandable given the way she treats you .	CalmDownExercise	-0.42600214	False		calm_down	0
5	i feel like i’m so full of people at work since i’m a teacher , but when i get home by myself , i don’t know what to do with myself . i don’t feel like i have enough hobbies to spend my time on . how should i deal with anxiety ?	CalmDownExercise	-0.03826635	False		calm_down	0
6	i’ve only had this vacation planned for a couple days and everything i had planned is falling apart . i can still make it happen but i might have to go alone and that scares me . i’m scared that i’ll get myself into a position where i get stuck and can’t come home or something happens and i get hurt .	CalmDownExercise	-0.68753684	True		calm_down	1
7	the most worrying thing is having my blood leak through my pants . i do not know what can be done to prevent this from happening in the future . i hate my life . i want to die to get rid of the pain but i am also scared of what happens after you die so i am just stuck living life like this .	CalmDownExercise	-0.32010356	True		calm_down	1
8	i am on my time of the month . i think i feel this way because of babes . i have cramps and i am paranoid .	CalmDownExercise	-0.29978284	False		calm_down	0
9	i have been feeling stressed . moving house is causing my tension . i don’t live with my parents . i live with my partner and we want to move to scotland . but it is taking a very long time and i feel stuck in my hometown .	CalmDownExercise	-0.016029146	False		calm_down	0
10	i`ve been feeling bad . i feel bad because i have a panic attack at the moment . and i suck at calming them down .	CalmDownExercise	-0.018090563	True		calm_down	1
11	of course i`m feeling the same . i am still sad about things but you never let me finish . it’s ok . but i have school tomorrow and i am worried about it . i should not let them make me feel this way because of the bullies they make me scared and upset .	CalmDownExercise	-0.04136738	False		calm_down	0
12	i do not feel great . i do not feel great because i have a lot going on with school . i think i have so much going on right now because i am scared to fail my final .	CalmDownExercise	-0.35366714	True		calm_down	1
13	i will kill myself if you can not help me . i am in the dark and have been for 3 years . i self-harm and cry myself to sleep . i am fat and overeat because of stress . i will kill myself if you can not help me . i am in the dark and have been for 3 years . i self-harm and cry myself to sleep . i am fat and overeat because of stress . no , i do not want to talk about anything else . i just want you to save me .	CalmDownExercise	-0.13652244	False		after_break	0
14	i think i can not sleep because my almost 2 year old daughter lmao sleep is hardly a thing anymore . when i do not get enough rest i feel on edge… i feel like my whole world is crashing down on me , i don’t have enough energy to clean the house or cook a meal , and because i don’t do those things as often anymore i feel like my husband is going to be upset or dissatisfied . . and then my anxiety climbs higher my depression increases and then i can’t even preform in bed for him because of it all . yes , my husband knows about my anxiety and depression . but he doesn’t quite understand how bad it is . i’ve tried to explain but i’m not sure he understands .	CalmDownExercise	-0.47089377	False		calm_down	0
15	my ex (david) said he would text me and he never did . maybe our encounter reminded him that he’s better off without me and that’s why he didn’t text me today . do i worry about him not reaching out or do i leave it be ? that’s a really good point .	CalmDownExercise	-0.10026483	False		calm_down	0
16	i feel like you can not understand myself and thinking maybe about committing suicide and would do it ,bit you just have the fear on doing it . *i* feel pain . thank you elomia but i have to talk to you tomorrow because i have to go to sleep ,you know ! getting some rest .	CalmDownExercise	-0.11554877	False		calm_down	0
17	no , i do not really want to write to you at any time . why do i worry so much ? i do not worry about my future but i worry about my family .	CalmDownExercise	-0.46272847	False		calm_down	0
18	yes , i do mean that maybe i want to change something in my character , but i do not know what it is . i feel that i have a little of extra weight that i would like to lose . and that makes me less confident right now . i don’t know what can be done to make it easier for me .	CalmDownExercise	-0.23078954	False		calm_down	0
19	i’ve been stressed . a lot of different things are causing my tension . i have health issues and relationships .	CalmDownExercise	-0.5829235	True		calm_down	1
20	i think i am stressed at the moment because i have so much on my plate and barely have time to think . well , this year i decided to try and get as much as i can get done so next year at school i’m more relaxed but it’s really getting out of hand . i but more relieved .	CalmDownExercise	-0.0074756914	True		fall_asleep	1
21	i have talked to my parents about everything but my school , dealing with all the stress it just sets off my anxiety all the time and i don’t know what to do about it . i mean that they know about my anxiety and i feel comfortable around them , but i don’t want to bother them with my problems because they already have so many problems of there own and i don’t wanna be a burden . i would like to talk about hope .	CalmDownExercise	-0.035643335	False		calm_down	0
22	i am feeling taha . i am crying about it . yes , i think the reason for this is because of the stress it put on my body	CalmDownExercise	-0.14228928	True		calm_down	1
